Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality
1/1/15,107.77,-416.25,4.04,1.84,1.52,7.01, repro
1/2/15,107.4,-416.16,1.86,1.85,1.53,7.03, repro
1/3/15,106.65,-416.63,-0.37,1.84,1.53,7.02, repro
1/4/15,106.83,-416.26,0.78,1.85,1.54,7.08, repro
1/5/15,106.8,-416.3,-1.05,1.86,1.58,7.1, repro
1/6/15,108.12,-416.67,-3.98,1.86,1.55,7.04, repro
1/7/15,106.87,-416.54,-2.59,1.93,1.6,7.26, repro
1/8/15,107.55,-416.66,3.02,1.87,1.56,7.14, repro
1/9/15,107.95,-417.5,11.12,1.89,1.66,7.39, repro
1/10/15,106.73,-416.75,2.34,1.84,1.55,7.04, repro
1/11/15,107.07,-417.56,1.38,1.85,1.55,7.06, repro
1/12/15,106.6,-417.44,0.36,1.86,1.59,7.21, repro
1/13/15,106.63,-415.69,-6.55,1.86,1.57,7.15, repro
1/14/15,107.36,-417.19,1.01,1.86,1.55,7.12, repro
1/15/15,106.46,-417.82,5.54,1.85,1.56,7.1, repro
1/16/15,105.88,-417.9,5.83,1.89,1.56,7.19, repro
1/17/15,107.06,-417.1,1.18,2.05,1.66,7.72, repro
1/18/15,106.36,-417.24,-1.61,1.88,1.58,7.24, repro
1/19/15,106.86,-417.67,1.58,1.84,1.57,7.1, repro
1/20/15,105.6,-417.88,1.47,1.84,1.55,7.06, repro
1/21/15,106.4,-417.85,2.9,1.83,1.55,7.01, repro
1/22/15,106.85,-418.3,6.3,1.85,1.57,7.14, repro
1/23/15,107.04,-417.25,1.2,2.03,1.73,7.72, repro
1/24/15,105.28,-417.55,2.46,1.93,1.61,7.34, repro
1/25/15,105.65,-418.13,7.2,1.83,1.55,7.05, repro
1/26/15,106.4,-418.69,2.56,1.84,1.55,7.05, repro
1/27/15,105.91,-418.19,5.7,1.9,1.57,7.22, repro
1/28/15,106.26,-418.87,-5.75,1.9,1.57,7.18, repro
1/29/15,105.05,-418.61,-1.06,1.91,1.58,7.25, repro
1/30/15,106.23,-418.72,-0.68,1.9,1.58,7.25, repro
1/31/15,104.89,-418.98,3.59,1.85,1.56,7.13, repro
2/1/15,106.35,-420.3,0.9,1.86,1.55,7.11, repro
2/2/15,106.82,-419.18,4.24,1.93,1.58,7.28, repro
2/3/15,106.54,-419.16,5.74,1.94,1.58,7.29, repro
2/4/15,105.94,-418.85,5.59,1.86,1.56,7.12, repro
2/5/15,105.48,-418.87,3.84,1.91,1.57,7.22, repro
2/6/15,106.43,-418.97,5.17,1.95,1.62,7.35, repro
2/7/15,107.06,-421.93,11.37,1.87,1.54,7.11, repro
2/8/15,107.16,-418.87,2.53,1.87,1.53,7.09, repro
2/9/15,107.87,-421.03,4.56,1.87,1.55,7.2, repro
2/10/15,106.58,-419.26,0.03,1.93,1.6,7.3, repro
2/11/15,105.83,-419.85,1.85,1.98,1.64,7.44, repro
2/12/15,106.17,-418.57,-0.48,1.9,1.62,7.27, repro
2/13/15,107.56,-419.25,-0.01,1.91,1.56,7.23, repro
2/14/15,106.57,-418.62,1.76,1.85,1.55,7.1, repro
2/15/15,106.32,-418.69,5.4,1.85,1.54,7.05, repro
2/16/15,105.58,-419.8,1.16,1.85,1.55,7.08, repro
2/17/15,106.88,-419.37,6.01,1.85,1.54,7.08, repro
2/18/15,107.02,-419.14,1.11,1.85,1.53,7.04, repro
2/19/15,106.51,-419.68,2.96,1.87,1.58,7.21, repro
2/20/15,105.88,-420.11,6.72,1.85,1.54,7.09, repro
2/21/15,106.36,-419.65,2.07,1.86,1.55,7.13, repro
2/22/15,106.66,-418.87,6.42,1.89,1.57,7.15, repro
2/23/15,106.11,-420.03,2.74,1.87,1.57,7.13, repro
2/24/15,107.2,-419.61,-2.73,1.87,1.56,7.09, repro
2/25/15,107.71,-419.1,-6.27,1.87,1.57,7.12, repro
2/26/15,107.42,-419.29,-3.23,1.87,1.57,7.17, repro
2/27/15,108.19,-419.38,9.53,1.87,1.57,7.17, repro
2/28/15,107.41,-419.35,1.41,1.87,1.55,7.11, repro
3/1/15,106.89,-420.65,2.68,1.87,1.55,7.06, repro
3/2/15,106.35,-419.27,2.38,1.88,1.56,7.15, repro
3/3/15,107.13,-420.24,1.89,1.96,1.65,7.5, repro
3/4/15,108.49,-420.3,-0.63,1.89,1.56,7.14, repro
3/5/15,108.65,-420.04,1.04,1.92,1.57,7.32, repro
3/6/15,108.28,-421.31,-3.89,1.93,1.57,7.31, repro
3/7/15,107.67,-420.51,2.33,1.88,1.56,7.11, repro
3/8/15,107.52,-421.18,2.36,1.87,1.56,7.12, repro
3/9/15,106.64,-420.99,3.64,1.93,1.7,7.51, repro
3/10/15,107.95,-421.44,1.99,1.89,1.56,7.16, repro
3/11/15,108.27,-421.48,3.93,1.89,1.56,7.15, repro
3/12/15,107.42,-421.34,-1.42,1.92,1.59,7.35, repro
3/13/15,106.69,-422.16,0.72,1.85,1.54,7, repro
3/14/15,107.45,-421.87,3.84,1.89,1.58,7.21, repro
3/15/15,107.62,-421.02,2.26,1.89,1.57,7.17, repro
3/16/15,107.6,-421.39,4.63,1.88,1.56,7.09, repro
3/17/15,108.95,-421.89,2.4,1.89,1.57,7.14, repro
3/18/15,107.31,-421.14,4.1,1.89,1.57,7.13, repro
3/19/15,108.38,-422.72,5.84,2.06,1.7,7.83, repro
3/20/15,107.08,-421.62,0.75,1.95,1.58,7.26, repro
3/21/15,108.29,-422.32,6.14,1.89,1.58,7.16, repro
3/22/15,106.52,-422.07,9.86,1.88,1.59,7.23, repro
3/23/15,109.36,-420.4,0.51,1.89,1.56,7.16, repro
3/24/15,107.13,-422.01,3.49,1.89,1.57,7.19, repro
3/25/15,107.13,-421.9,7,1.9,1.57,7.17, repro
3/26/15,107.19,-421.63,5.65,1.88,1.56,7.12, repro
3/27/15,107.04,-421.57,3.42,1.94,1.6,7.4, repro
3/28/15,107.35,-421.84,6,1.96,1.61,7.49, repro
3/29/15,107.87,-421.57,1.77,2.02,1.62,7.63, repro
3/30/15,109.05,-421.15,4.81,2.03,1.6,7.55, repro
3/31/15,107.72,-420.25,7.82,2.02,1.63,7.65, repro
4/1/15,107.56,-421.41,7.67,1.94,1.61,7.35, repro
4/2/15,106.45,-421.71,2.06,1.89,1.55,7.14, repro
4/3/15,106.91,-421.65,0.72,1.9,1.59,7.31, repro
4/4/15,105.8,-422.24,4.25,1.92,1.59,7.32, repro
4/5/15,106.22,-422.02,4.48,1.9,1.6,7.3, repro
4/6/15,105.31,-422.51,7.45,1.88,1.56,7.14, repro
4/7/15,106.74,-421.69,-3.75,1.93,1.6,7.35, repro
4/8/15,107.38,-421.26,2.76,1.94,1.62,7.39, repro
4/9/15,105.19,-421.87,4.63,1.87,1.56,7.17, repro
4/10/15,105.93,-422.61,5.2,1.94,1.6,7.33, repro
4/11/15,106.16,-423.39,7.23,1.93,1.62,7.43, repro
4/12/15,107.83,-422.73,11.76,1.87,1.56,7.2, repro
4/13/15,107.47,-423.43,3.86,1.93,1.6,7.38, repro
4/14/15,107.4,-421.63,10.02,1.94,1.58,7.32, repro
4/15/15,107.8,-422.52,6.24,1.96,1.62,7.45, repro
4/16/15,107.32,-422.76,7.85,1.95,1.62,7.4, repro
4/17/15,105.92,-421.88,11.07,1.91,1.57,7.24, repro
4/18/15,106.31,-422.38,7,1.91,1.56,7.25, repro
4/19/15,106.99,-422.06,11.34,1.93,1.57,7.31, repro
4/20/15,105.65,-422.12,11.6,1.92,1.57,7.31, repro
4/21/15,106.72,-422.76,6.63,1.94,1.55,7.27, repro
4/22/15,106.04,-422.63,7.61,2,1.57,7.5, repro
4/23/15,105.42,-423.06,7.41,1.89,1.53,7.18, repro
4/24/15,106.19,-421.47,6.74,1.9,1.52,7.12, repro
4/25/15,107.03,-421.18,7.37,1.89,1.52,7.07, repro
4/26/15,105.28,-423.22,1.29,1.9,1.53,7.15, repro
4/27/15,106.2,-422.97,0.61,1.88,1.52,7.07, repro
4/28/15,107.36,-422.4,2.47,1.89,1.53,7.15, repro
4/29/15,106.36,-422.38,11.56,1.89,1.54,7.15, repro
4/30/15,107.63,-423.12,5.19,1.91,1.58,7.21, repro
5/1/15,105.36,-424.15,3.65,1.92,1.59,7.3, repro
5/2/15,107.57,-423.87,8.28,1.9,1.54,7.18, repro
5/3/15,107.31,-423.14,4.94,1.93,1.56,7.33, repro
5/4/15,107.49,-422.51,-0.88,1.88,1.54,7.18, repro
5/5/15,107.59,-422.51,-1.91,1.9,1.55,7.2, repro
5/6/15,108.32,-423.2,3.22,1.88,1.53,7.14, repro
5/7/15,107.17,-421.76,10.11,1.95,1.56,7.42, repro
5/8/15,106.2,-423.3,5.3,1.89,1.54,7.15, repro
5/9/15,107.32,-423.1,4.84,1.87,1.53,7.09, repro
5/10/15,107.34,-423.28,3.38,1.89,1.54,7.19, repro
5/11/15,106.57,-423.18,0.48,1.91,1.55,7.24, repro
5/12/15,105.42,-423.52,2.63,1.97,1.56,7.53, repro
5/13/15,107.08,-424.07,-3.22,1.95,1.55,7.34, repro
5/14/15,107.93,-424.34,-5.16,1.87,1.53,7.14, repro
5/15/15,107.51,-425.32,3.13,1.89,1.54,7.2, repro
5/16/15,106.7,-421.62,1.91,1.91,1.55,7.24, repro
